Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,0.6636165736902644,['CYME_CMC037C'],0 1449 14 108
cme02010,ABC transporters,1.0,[],-1 1449 14 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 14 70
cme03010,Ribosome,0.7446090165674667,['CYME_CMJ238C'],0 1449 14 134
cme03013,RNA transport,0.4538790952544227,['CYME_CMI187C'],0 1449 14 61
cme03015,mRNA surveillance pathway,1.0,[],-1 1449 14 36
cme03018,RNA degradation,1.0,[],-1 1449 14 46
cme03020,RNA polymerase,1.0,[],-1 1449 14 24
cme03022,Basal transcription factors,0.20934240684450145,['CYME_CMD185C'],0 1449 14 24
cme03030,DNA replication,1.0,[],-1 1449 14 32
cme03040,Spliceosome,1.0,[],-1 1449 14 44
cme03050,Proteasome,1.0,[],-1 1449 14 38
cme03060,Protein export,0.20150302560951747,['CYME_CMT579C'],0 1449 14 23
cme03410,Base excision repair,1.0,[],-1 1449 14 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 14 41
cme03430,Mismatch repair,1.0,[],-1 1449 14 20
cme03440,Homologous recombination,1.0,[],-1 1449 14 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 14 4
cme04016,MAPK signaling pathway - plant,1.0,[],-1 1449 14 6
cme04070,Phosphatidylinositol signaling system,0.13613947346985777,['CYME_CMD080C'],0 1449 14 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 14 46
cme04122,Sulfur relay system,1.0,[],-1 1449 14 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 14 15
cme04136,Autophagy - other,1.0,[],-1 1449 14 4
cme04141,Protein processing in endoplasmic reticulum,0.43703952468291796,['CYME_CMT579C'],0 1449 14 58
cme04144,Endocytosis,0.25489776502695066,['CYME_CMF103C'],0 1449 14 30
cme04145,Phagosome,1.0,[],-1 1449 14 22
cme04146,Peroxisome,0.25489776502695066,['CYME_CMM177C'],0 1449 14 30
cme04712,Circadian rhythm - plant,0.05668417485610919,['CYME_CMS371C'],0 1449 14 6
cme00010,Glycolysis / Gluconeogenesis,1.0,[],-1 1449 14 47
cme00020,Citrate cycle (TCA cycle),1.0,[],-1 1449 14 27
cme00030,Pentose phosphate pathway,1.0,[],-1 1449 14 33
cme00040,Pentose and glucuronate interconversions,1.0,[],-1 1449 14 10
cme00051,Fructose and mannose metabolism,1.0,[],-1 1449 14 15
cme00052,Galactose metabolism,1.0,[],-1 1449 14 11
cme00053,Ascorbate and aldarate metabolism,1.0,[],-1 1449 14 11
cme00061,Fatty acid biosynthesis,1.0,[],-1 1449 14 15
cme00062,Fatty acid elongation,1.0,[],-1 1449 14 7
cme00071,Fatty acid degradation,1.0,[],-1 1449 14 11
cme00072,Synthesis and degradation of ketone bodies,1.0,[],-1 1449 14 4
cme00100,Steroid biosynthesis,1.0,[],-1 1449 14 11
cme00130,Ubiquinone and other terpenoid-quinone biosynthesis,1.0,[],-1 1449 14 13
cme00190,Oxidative phosphorylation,1.0,[],-1 1449 14 67
cme00195,Photosynthesis,1.0,[],-1 1449 14 50
cme00196,Photosynthesis - antenna proteins,1.0,[],-1 1449 14 8
cme00220,Arginine biosynthesis,1.0,[],-1 1449 14 14
cme00230,Purine metabolism,1.0,[],-1 1449 14 49
cme00240,Pyrimidine metabolism,1.0,[],-1 1449 14 26
cme00250,"Alanine, aspartate and glutamate metabolism",1.0,[],-1 1449 14 21
cme00260,"Glycine, serine and threonine metabolism",0.26224902033998077,['CYME_CMM177C'],0 1449 14 31
cme00261,Monobactam biosynthesis,1.0,[],-1 1449 14 7
cme00270,Cysteine and methionine metabolism,1.0,[],-1 1449 14 40
cme00280,"Valine, leucine and isoleucine degradation",1.0,[],-1 1449 14 22
cme00290,"Valine, leucine and isoleucine biosynthesis",1.0,[],-1 1449 14 11
cme00300,Lysine biosynthesis,1.0,[],-1 1449 14 8
