Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,1.0,[],-1 1449 14 108
cme02010,ABC transporters,1.0,[],-1 1449 14 8
cme03008,Ribosome biogenesis in eukaryotes,0.5016333702088319,['CYME_CMG027C'],0 1449 14 70
cme03010,Ribosome,1.0,[],-1 1449 14 134
cme03013,RNA transport,1.0,[],-1 1449 14 61
cme03015,mRNA surveillance pathway,1.0,[],-1 1449 14 36
cme03018,RNA degradation,0.36474211389630323,['CYME_CMM196C'],0 1449 14 46
cme03020,RNA polymerase,1.0,[],-1 1449 14 24
cme03022,Basal transcription factors,1.0,[],-1 1449 14 24
cme03030,DNA replication,1.0,[],-1 1449 14 32
cme03040,Spliceosome,1.0,[],-1 1449 14 44
cme03050,Proteasome,1.0,[],-1 1449 14 38
cme03060,Protein export,1.0,[],-1 1449 14 23
cme03410,Base excision repair,1.0,[],-1 1449 14 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 14 41
cme03430,Mismatch repair,1.0,[],-1 1449 14 20
cme03440,Homologous recombination,0.01350083294383866,"['CYME_CMR053C', 'CYME_CMS368C']",1 1449 14 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 14 4
cme04016,MAPK signaling pathway - plant,1.0,[],-1 1449 14 6
cme04070,Phosphatidylinositol signaling system,1.0,[],-1 1449 14 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 14 46
cme04122,Sulfur relay system,1.0,[],-1 1449 14 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 14 15
cme04136,Autophagy - other,1.0,[],-1 1449 14 4
cme04141,Protein processing in endoplasmic reticulum,0.43703952468291796,['CYME_CMJ101C'],0 1449 14 58
cme04144,Endocytosis,1.0,[],-1 1449 14 30
cme04145,Phagosome,1.0,[],-1 1449 14 22
cme04146,Peroxisome,1.0,[],-1 1449 14 30
cme04712,Circadian rhythm - plant,1.0,[],-1 1449 14 6
