Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,1.0,[],-1 1449 30 108
cme02010,ABC transporters,1.0,[],-1 1449 30 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 30 70
cme03010,Ribosome,1.0,[],-1 1449 30 134
cme03013,RNA transport,1.0,[],-1 1449 30 61
cme03015,mRNA surveillance pathway,0.5335069524313727,['CYME_CME108C'],0 1449 30 36
cme03018,RNA degradation,1.0,[],-1 1449 30 46
cme03020,RNA polymerase,1.0,[],-1 1449 30 24
cme03022,Basal transcription factors,1.0,[],-1 1449 30 24
cme03030,DNA replication,1.0,[],-1 1449 30 32
cme03040,Spliceosome,1.0,[],-1 1449 30 44
cme03050,Proteasome,1.0,[],-1 1449 30 38
cme03060,Protein export,0.38425328378331164,['CYME_CML086C'],0 1449 30 23
cme03410,Base excision repair,1.0,[],-1 1449 30 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 30 41
cme03430,Mismatch repair,1.0,[],-1 1449 30 20
cme03440,Homologous recombination,1.0,[],-1 1449 30 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 30 4
cme04016,MAPK signaling pathway - plant,1.0,[],-1 1449 30 6
cme04070,Phosphatidylinositol signaling system,1.0,[],-1 1449 30 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 30 46
cme04122,Sulfur relay system,1.0,[],-1 1449 30 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 30 15
cme04136,Autophagy - other,1.0,[],-1 1449 30 4
cme04141,Protein processing in endoplasmic reticulum,1.0,[],-1 1449 30 58
cme04144,Endocytosis,1.0,[],-1 1449 30 30
cme04145,Phagosome,1.0,[],-1 1449 30 22
cme04146,Peroxisome,0.022308688332694424,"['CYME_CMN023C', 'CYME_CMT028C', 'CYME_CMT459C']",2 1449 30 30
cme04712,Circadian rhythm - plant,1.0,[],-1 1449 30 6
cme00010,Glycolysis / Gluconeogenesis,0.6319076127182248,['CYME_CMK098C'],0 1449 30 47
cme00020,Citrate cycle (TCA cycle),1.0,[],-1 1449 30 27
cme00030,Pentose phosphate pathway,0.5025319601522441,['CYME_CMI084C'],0 1449 30 33
cme00040,Pentose and glucuronate interconversions,0.18931210538134288,['CYME_CMI084C'],0 1449 30 10
cme00051,Fructose and mannose metabolism,1.0,[],-1 1449 30 15
cme00052,Galactose metabolism,1.0,[],-1 1449 30 11
cme00053,Ascorbate and aldarate metabolism,1.0,[],-1 1449 30 11
cme00061,Fatty acid biosynthesis,0.2704748152355718,['CYME_CMT459C'],0 1449 30 15
cme00062,Fatty acid elongation,1.0,[],-1 1449 30 7
cme00071,Fatty acid degradation,0.2062131733725401,['CYME_CMT459C'],0 1449 30 11
cme00072,Synthesis and degradation of ketone bodies,0.08035977611713571,['CYME_CMM189C'],0 1449 30 4
cme00100,Steroid biosynthesis,1.0,[],-1 1449 30 11
