Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,0.9601351400289009,['CYME_CMC037C'],0 1449 41 108
cme02010,ABC transporters,0.20561886549902186,['CYME_CMT120C'],0 1449 41 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 41 70
cme03010,Ribosome,0.9063256729153925,"['CYME_CMR285C', 'CYME_CMJ238C']",1 1449 41 134
cme03013,RNA transport,0.8328320730341547,['CYME_CMI187C'],0 1449 41 61
cme03015,mRNA surveillance pathway,1.0,[],-1 1449 41 36
cme03018,RNA degradation,0.7385752389946013,['CYME_CMM026C'],0 1449 41 46
cme03020,RNA polymerase,1.0,[],-1 1449 41 24
cme03022,Basal transcription factors,0.5006708964221741,['CYME_CMD185C'],0 1449 41 24
cme03030,DNA replication,1.0,[],-1 1449 41 32
cme03040,Spliceosome,1.0,[],-1 1449 41 44
cme03050,Proteasome,0.6688253088096723,['CYME_CML133C'],0 1449 41 38
cme03060,Protein export,0.48588931285052395,['CYME_CMT579C'],0 1449 41 23
cme03410,Base excision repair,1.0,[],-1 1449 41 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 41 41
cme03430,Mismatch repair,1.0,[],-1 1449 41 20
cme03440,Homologous recombination,1.0,[],-1 1449 41 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 41 4
cme04016,MAPK signaling pathway - plant,1.0,[],-1 1449 41 6
cme04070,Phosphatidylinositol signaling system,0.35122906225664974,['CYME_CMD080C'],0 1449 41 15
cme04120,Ubiquitin mediated proteolysis,0.7385752389946013,['CYME_CMR077C'],0 1449 41 46
cme04122,Sulfur relay system,1.0,[],-1 1449 41 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 41 15
cme04136,Autophagy - other,1.0,[],-1 1449 41 4
cme04141,Protein processing in endoplasmic reticulum,0.004781745556564534,"['CYME_CMC180C', 'CYME_CMK108C', 'CYME_CMF082C', 'CYME_CMJ101C', 'CYME_CMI213C', 'CYME_CMT579C']",5 1449 41 58
cme04144,Endocytosis,0.5810343170643877,['CYME_CMF103C'],0 1449 41 30
cme04145,Phagosome,0.47068113234966574,['CYME_CMI213C'],0 1449 41 22
cme04146,Peroxisome,0.20733758753913412,"['CYME_CME186C', 'CYME_CMM177C']",1 1449 41 30
cme04712,Circadian rhythm - plant,0.15846077391439517,['CYME_CMS371C'],0 1449 41 6
cme00010,Glycolysis / Gluconeogenesis,0.3871517897750245,"['CYME_CMT034C', 'CYME_CMQ234C']",1 1449 41 47
cme00020,Citrate cycle (TCA cycle),0.5425712687123875,['CYME_CMQ234C'],0 1449 41 27
cme00030,Pentose phosphate pathway,0.61633554360304,['CYME_CMT034C'],0 1449 41 33
cme00040,Pentose and glucuronate interconversions,1.0,[],-1 1449 41 10
cme00051,Fructose and mannose metabolism,0.35122906225664974,['CYME_CMQ359C'],0 1449 41 15
cme00052,Galactose metabolism,1.0,[],-1 1449 41 11
cme00053,Ascorbate and aldarate metabolism,1.0,[],-1 1449 41 11
cme00061,Fatty acid biosynthesis,0.06500658972321373,"['CYME_CMT381C', 'CYME_CME186C']",1 1449 41 15
cme00062,Fatty acid elongation,1.0,[],-1 1449 41 7
cme00071,Fatty acid degradation,0.2715586737168105,['CYME_CME186C'],0 1449 41 11
cme00072,Synthesis and degradation of ketone bodies,1.0,[],-1 1449 41 4
cme00100,Steroid biosynthesis,0.2715586737168105,['CYME_CMG178C'],0 1449 41 11
cme00130,Ubiquinone and other terpenoid-quinone biosynthesis,1.0,[],-1 1449 41 13
cme00190,Oxidative phosphorylation,0.5746532805042239,"['CYME_CMM026C', 'CYME_CMR289C']",1 1449 41 67
cme00195,Photosynthesis,1.0,[],-1 1449 41 50
cme00196,Photosynthesis - antenna proteins,1.0,[],-1 1449 41 8
cme00220,Arginine biosynthesis,1.0,[],-1 1449 41 14
cme00230,Purine metabolism,1.0,[],-1 1449 41 49
cme00240,Pyrimidine metabolism,1.0,[],-1 1449 41 26
cme00250,"Alanine, aspartate and glutamate metabolism",1.0,[],-1 1449 41 21
cme00260,"Glycine, serine and threonine metabolism",0.21787167434750088,"['CYME_CMQ234C', 'CYME_CMM177C']",1 1449 41 31
cme00261,Monobactam biosynthesis,1.0,[],-1 1449 41 7
cme00270,Cysteine and methionine metabolism,0.3137951733204459,"['CYME_CME121C', 'CYME_CMN227C']",1 1449 41 40
cme00280,"Valine, leucine and isoleucine degradation",0.47068113234966574,['CYME_CMQ234C'],0 1449 41 22
cme00290,"Valine, leucine and isoleucine biosynthesis",1.0,[],-1 1449 41 11
cme00300,Lysine biosynthesis,1.0,[],-1 1449 41 8
cme00310,Lysine degradation,0.22822096578649623,['CYME_CMQ234C'],0 1449 41 9
cme00330,Arginine and proline metabolism,0.36977830106122306,['CYME_CMM177C'],0 1449 41 16
cme00332,Carbapenem biosynthesis,1.0,[],-1 1449 41 2
cme00340,Histidine metabolism,1.0,[],-1 1449 41 11
cme00350,Tyrosine metabolism,1.0,[],-1 1449 41 15
cme00360,Phenylalanine metabolism,1.0,[],-1 1449 41 11
cme00380,Tryptophan metabolism,0.05003510645698556,"['CYME_CME121C', 'CYME_CMQ234C']",1 1449 41 13
cme00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",1.0,[],-1 1449 41 23
cme00410,beta-Alanine metabolism,1.0,[],-1 1449 41 10
cme00430,Taurine and hypotaurine metabolism,1.0,[],-1 1449 41 3
cme00440,Phosphonate and phosphinate metabolism,1.0,[],-1 1449 41 2
cme00450,Selenocompound metabolism,0.29232786313016335,['CYME_CME121C'],0 1449 41 12
cme00460,Cyanoamino acid metabolism,1.0,[],-1 1449 41 6
cme00472,D-Arginine and D-ornithine metabolism,0.29232786313016335,['CYME_CMM177C'],0 1449 41 12
cme00480,Glutathione metabolism,0.5557601421176611,['CYME_CMO318C'],0 1449 41 28
cme00500,Starch and sucrose metabolism,0.14591289070358068,"['CYME_CMQ148C', 'CYME_CMO053C']",1 1449 41 24
cme00510,N-Glycan biosynthesis,0.48588931285052395,['CYME_CMK108C'],0 1449 41 23
cme00511,Other glycan degradation,1.0,[],-1 1449 41 3
cme00513,Various types of N-glycan biosynthesis,0.35122906225664974,['CYME_CMK108C'],0 1449 41 15
cme00514,Other types of O-glycan biosynthesis,1.0,[],-1 1449 41 6
cme00515,Mannose type O-glycan biosynthesis,1.0,[],-1 1449 41 6
cme00520,Amino sugar and nucleotide sugar metabolism,0.6049036811669524,['CYME_CMQ359C'],0 1449 41 32
cme00523,Polyketide sugar unit biosynthesis,1.0,[],-1 1449 41 9
cme00561,Glycerolipid metabolism,0.014875654742910895,"['CYME_CMQ199C', 'CYME_CMR054C', 'CYME_CMR015C']",2 1449 41 19
cme00562,Inositol phosphate metabolism,0.07299048017018384,"['CYME_CMR036C', 'CYME_CMD080C']",1 1449 41 16
cme00564,Glycerophospholipid metabolism,0.1968668579185743,"['CYME_CMR054C', 'CYME_CMS008C']",1 1449 41 29
cme00565,Ether lipid metabolism,0.01499670626561034,"['CYME_CMR054C', 'CYME_CMS008C']",1 1449 41 7
cme00590,Arachidonic acid metabolism,1.0,[],-1 1449 41 4
cme00592,alpha-Linolenic acid metabolism,1.0,[],-1 1449 41 3
cme00600,Sphingolipid metabolism,0.030452588269757507,"['CYME_CMP318C', 'CYME_CMR054C']",1 1449 41 10
cme00620,Pyruvate metabolism,0.7057096693513918,['CYME_CMQ234C'],0 1449 41 42
cme00630,Glyoxylate and dicarboxylate metabolism,0.6049036811669524,['CYME_CMQ234C'],0 1449 41 32
cme00640,Propanoate metabolism,0.48588931285052395,['CYME_CMQ234C'],0 1449 41 23
cme00650,Butanoate metabolism,1.0,[],-1 1449 41 10
cme00660,C5-Branched dibasic acid metabolism,1.0,[],-1 1449 41 3
cme00670,One carbon pool by folate,1.0,[],-1 1449 41 11
cme00710,Carbon fixation in photosynthetic organisms,1.0,[],-1 1449 41 28
cme00730,Thiamine metabolism,1.0,[],-1 1449 41 12
cme00740,Riboflavin metabolism,0.20561886549902186,['CYME_CML247C'],0 1449 41 8
cme00750,Vitamin B6 metabolism,0.18237145185550402,['CYME_CMM155C'],0 1449 41 7
cme00760,Nicotinate and nicotinamide metabolism,1.0,[],-1 1449 41 14
cme00770,Pantothenate and CoA biosynthesis,1.0,[],-1 1449 41 12
cme00780,Biotin metabolism,0.22822096578649623,['CYME_CMT381C'],0 1449 41 9
cme00785,Lipoic acid metabolism,1.0,[],-1 1449 41 5
cme00790,Folate biosynthesis,1.0,[],-1 1449 41 15
cme00860,Porphyrin and chlorophyll metabolism,1.0,[],-1 1449 41 27
cme00900,Terpenoid backbone biosynthesis,0.10771138045127991,"['CYME_CMG148C', 'CYME_CMS444C']",1 1449 41 20
cme00906,Carotenoid biosynthesis,1.0,[],-1 1449 41 5
cme00909,Sesquiterpenoid and triterpenoid biosynthesis,0.05580911201859348,['CYME_CMG178C'],0 1449 41 2
cme00910,Nitrogen metabolism,1.0,[],-1 1449 41 8
cme00920,Sulfur metabolism,1.0,[],-1 1449 41 15
cme00940,Phenylpropanoid biosynthesis,1.0,[],-1 1449 41 12
cme00950,Isoquinoline alkaloid biosynthesis,1.0,[],-1 1449 41 6
cme00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",1.0,[],-1 1449 41 7
cme00966,Glucosinolate biosynthesis,1.0,[],-1 1449 41 3
cme01040,Biosynthesis of unsaturated fatty acids,1.0,[],-1 1449 41 7
cme01100,Metabolic pathways,0.0706042028928337,"['CYME_CMQ148C', 'CYME_CMO053C', 'CYME_CMT381C', 'CYME_CMK108C', 'CYME_CME121C', 'CYME_CMR036C', 'CYME_CMP318C', 'CYME_CMN227C', 'CYME_CMT034C', 'CYME_CMQ199C', 'CYME_CMG178C', 'CYME_CMR054C', 'CYME_CMQ359C', 'CYME_CMO318C', 'CYME_CMQ234C', 'CYME_CMR015C', 'CYME_CME186C', 'CYME_CMR289C', 'CYME_CML247C', 'CYME_CMG148C', 'CYME_CMS444C', 'CYME_CMM177C', 'CYME_CMD080C', 'CYME_CMS008C', 'CYME_CMM155C']",24 1449 41 702
cme01110,Biosynthesis of secondary metabolites,0.12055235744554228,"['CYME_CMQ148C', 'CYME_CMO053C', 'CYME_CMT381C', 'CYME_CME121C', 'CYME_CMR036C', 'CYME_CMN227C', 'CYME_CMG178C', 'CYME_CMR054C', 'CYME_CMQ359C', 'CYME_CMQ234C', 'CYME_CML247C', 'CYME_CMG148C', 'CYME_CMS444C', 'CYME_CMM177C']",13 1449 41 363
cme01200,Carbon metabolism,0.832466602645759,"['CYME_CMT034C', 'CYME_CMQ234C']",1 1449 41 110
cme01210,2-Oxocarboxylic acid metabolism,1.0,[],-1 1449 41 27
cme01212,Fatty acid metabolism,0.16595995814507103,"['CYME_CMT381C', 'CYME_CME186C']",1 1449 41 26
cme01230,Biosynthesis of amino acids,0.9625364291333958,['CYME_CMN227C'],0 1449 41 110
cme01240,Biosynthesis of cofactors,0.14684427356768384,"['CYME_CMT381C', 'CYME_CMN227C', 'CYME_CMQ359C', 'CYME_CMQ234C', 'CYME_CML247C', 'CYME_CMM155C']",5 1449 41 128
