Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,1.0,[],-1 1449 52 108
cme02010,ABC transporters,1.0,[],-1 1449 52 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 52 70
cme03010,Ribosome,0.01750748360057044,"['CYME_CML305C', 'CYME_CMA082C', 'CYME_CMR150C', 'CYME_CMR148C', 'CYME_CMT627C', 'CYME_CMG057C', 'CYME_CMD140C', 'CYME_CMT159C', 'CYME_CMK118C', 'CYME_CMR287C']",9 1449 52 134
cme03013,RNA transport,1.0,[],-1 1449 52 61
cme03015,mRNA surveillance pathway,0.37335154711667906,"['CYME_CME108C', 'CYME_CMS430C']",1 1449 52 36
cme03018,RNA degradation,1.0,[],-1 1449 52 46
cme03020,RNA polymerase,1.0,[],-1 1449 52 24
cme03022,Basal transcription factors,1.0,[],-1 1449 52 24
cme03030,DNA replication,1.0,[],-1 1449 52 32
cme03040,Spliceosome,0.8046295981503293,['CYME_CML202C'],0 1449 52 44
cme03050,Proteasome,1.0,[],-1 1449 52 38
cme03060,Protein export,0.5713608913501683,['CYME_CMQ393C'],0 1449 52 23
cme03410,Base excision repair,1.0,[],-1 1449 52 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 52 41
cme03430,Mismatch repair,1.0,[],-1 1449 52 20
cme03440,Homologous recombination,1.0,[],-1 1449 52 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 52 4
cme04016,MAPK signaling pathway - plant,1.0,[],-1 1449 52 6
cme04070,Phosphatidylinositol signaling system,1.0,[],-1 1449 52 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 52 46
cme04122,Sulfur relay system,1.0,[],-1 1449 52 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 52 15
cme04136,Autophagy - other,1.0,[],-1 1449 52 4
cme04141,Protein processing in endoplasmic reticulum,1.0,[],-1 1449 52 58
cme04144,Endocytosis,1.0,[],-1 1449 52 30
cme04145,Phagosome,1.0,[],-1 1449 52 22
cme04146,Peroxisome,0.08955802213848182,"['CYME_CMT028C', 'CYME_CMA068C', 'CYME_CMT459C']",2 1449 52 30
cme04712,Circadian rhythm - plant,1.0,[],-1 1449 52 6
cme00010,Glycolysis / Gluconeogenesis,0.5099460036754727,"['CymeCp128', 'CYME_CMF012C']",1 1449 52 47
cme00020,Citrate cycle (TCA cycle),0.6306047130692072,['CymeCp128'],0 1449 52 27
cme00030,Pentose phosphate pathway,0.7047140163817732,['CYME_CMT633C'],0 1449 52 33
cme00040,Pentose and glucuronate interconversions,0.30693187843388164,['CYME_CMT633C'],0 1449 52 10
cme00051,Fructose and mannose metabolism,1.0,[],-1 1449 52 15
cme00052,Galactose metabolism,1.0,[],-1 1449 52 11
cme00053,Ascorbate and aldarate metabolism,1.0,[],-1 1449 52 11
cme00061,Fatty acid biosynthesis,0.4235775734367953,['CYME_CMT459C'],0 1449 52 15
cme00062,Fatty acid elongation,1.0,[],-1 1449 52 7
cme00071,Fatty acid degradation,0.05648335639511402,"['CYME_CML080C', 'CYME_CMT459C']",1 1449 52 11
cme00072,Synthesis and degradation of ketone bodies,0.007238852529040276,"['CYME_CMA068C', 'CYME_CMM189C']",1 1449 52 4
cme00100,Steroid biosynthesis,1.0,[],-1 1449 52 11
cme00130,Ubiquinone and other terpenoid-quinone biosynthesis,0.00967001672961308,"['CYME_CMT533C', 'CYME_CMI063C', 'CYME_CMS413C']",2 1449 52 13
cme00190,Oxidative phosphorylation,0.7051968365631185,"['CYME_CMQ087C', 'CYME_CMR255C']",1 1449 52 67
cme00195,Photosynthesis,0.00026749257538873853,"['CymeCp178', 'CymeCp122', 'CYME_CMQ087C', 'CymeCp179', 'CymeCp203', 'CymeCp199', 'CymeCp107', 'CYME_CMI248C']",7 1449 52 50
